12mer_ProbeName,Nucleotide
probe0411,225
probe0694,226
probe0762,227
probe1714,228
probe1974,229
probe1072,230
probe1317,231
probe0415,232
probe1638,233
probe0499,234
probe1204,235
probe1349,236
probe0421,237
probe1640,238
probe1954,239
probe1066,240
probe0858,241
probe0289,242
probe1170,243
probe1822,244
probe2014,245
probe0567,246
probe1222,247
probe1357,248
probe0932,249
probe1758,250
probe1481,251
probe0459,252
probe1198,253
probe1345,254
probe1853,255
probe2031,256
probe1537,257
probe0972,258
probe0325,259
probe0668,260
probe0756,261
probe0780,262
probe0267,263
probe1164,264
probe1818,265
probe1032,266
probe1784,267
probe1020,268
probe1305,269
probe1381,270
probe1863,271
probe0539,272
probe1664,273
probe1453,274
probe1410,275
probe0439,276
probe0158,277
probe0046,278
probe1114,279
probe0870,280
probe1736,281
probe1984,282
probe1076,283
probe0353,284
probe0678,285
probe0227,286
probe1150,287
probe1812,288
probe1030,289
probe0343,290
probe0118,291
probe1128,292
probe1808,293
probe2010,294
probe0565,295
probe1220,296
probe0385,297
probe0684,298
probe0760,299
probe0259,300
probe1604,301
probe0491,302
probe0169,303
probe0640,304
probe1241,305
probe0391,306
probe0134,307
probe0038,308
probe0014,309
probe1557,310
probe1928,311
probe2060,312
probe1102,313
probe0363,314
probe1628,315
probe1443,316
probe1406,317
probe0944,318
probe0828,319
probe0283,320
probe1168,321
probe0886,322
probe0818,323
probe0798,324
probe0271,325
probe1166,326
probe1820,327
probe1495,328
probe0465,329
probe1650,330
probe0503,331
probe0171,332
probe0052,333
probe0018,334
probe1108,335
probe0868,336
probe0816,337
probe1263,338
probe1839,339
probe2023,340
probe2083,341
probe0590,342
probe0199,343
probe0062,344
probe1118,345
probe1327,346
probe0926,347
probe0826,348
probe1726,349
probe1471,350
probe1892,351
probe1048,352
probe1788,353
probe0523,354
probe0181,355
probe1142,356
probe1333,357
probe0417,358
probe0146,359
probe0042,360
probe1559,361
probe1430,362
probe1878,363
probe2044,364
probe1092,365
probe1321,366
probe0924,367
probe0307,368
probe1174,369
probe1826,370
probe1497,371
probe1902,372
probe1050,373
probe0351,374
probe0676,375
probe1696,376
probe0509,377
probe0722,378
probe1706,379
probe1006,380
probe0333,381
probe0674,382
probe0225,383
probe1148,384
probe1337,385
probe0928,386
probe0309,387
probe0664,388
probe1247,389
probe0393,390
probe0136,391
probe0628,392
probe0744,393
probe1712,394
probe1467,395
probe1412,396
probe1403,397
probe1871,398
probe1042,399
probe0347,400
probe0120,401
probe1583,402
probe1936,403
probe1513,404
probe1908,405
probe1505,406
probe1416,407
probe0948,408
probe1289,409
probe1377,410
probe1861,411
probe1040,412
probe0345,413
probe1620,414
probe1948,415
probe2070,416
probe0586,417
probe0732,418
probe1708,419
probe1008,420
probe0335,421
probe1618,422
probe1439,423
probe1882,424
probe1046,425
probe0349,426
probe0122,427
probe0036,428
probe0012,429
probe0596,430
probe0203,431
probe0648,432
probe1688,433
probe1002,434
probe0842,435
probe1273,436
probe0401,437
probe0692,438
probe1698,439
probe1970,440
probe1070,441
probe1315,442
probe1387,443
probe1865,444
probe0541,445
probe0189,446
probe0646,447
probe0217,448
probe0074,449
probe1122,450
probe1806,451
probe2008,452
probe1088,453
probe1796,454
probe1491,455
probe0463,456
probe0702,457
probe0764,458
probe0261,459
probe0654,460
probe1692,461
probe1463,462
probe0455,463
probe1196,464
probe0379,465
probe1634,466
probe1447,467
probe0449,468
probe0696,469
probe1700,470
probe1004,471
probe0844,472
probe1728,473
probe1012,474
probe0337,475
probe0114,476
probe1126,477
probe0878,478
probe1742,479
probe1990,480
probe1078,481
probe0862,482
probe0812,483
probe1261,484
probe0910,485
probe0301,486
probe0662,487
probe1245,488
probe1835,489
probe0531,490
probe1214,491
probe1828,492
probe2016,493
probe2080,494
probe1547,495
probe1920,496
probe0547,497
probe1216,498
probe1830,499
probe2018,500
probe1531,501
probe1914,502
probe1507,503
probe1904,504
probe1503,505
probe0966,506
probe1768,507
probe1014,508
probe1301,509
probe0409,510
probe0144,511
probe1134,512
probe0367,513
probe0680,514
probe0229,515
probe1598,516
probe0988,517
probe0836,518
probe0806,519
probe0279,520
probe1608,521
probe1437,522
probe1880,523
probe1044,524
probe0850,525
probe1730,526
probe0515,527
probe0179,528
probe1140,529
probe1331,530
probe1847,531
probe2027,532
probe1535,533
probe0475,534
probe1652,535
probe1960,536
probe0551,537
probe0191,538
probe0058,539
probe0608,540
probe1235,541
probe0904,542
probe0299,543
probe1172,544
probe1824,545
probe1034,546
probe1786,547
probe2004,548
probe0563,549
probe1676,550
probe1457,551
probe0451,552
probe0698,553
probe0237,554
probe0652,555
probe0750,556
probe1255,557
probe1837,558
probe1036,559
probe1307,560
probe1383,561
probe0938,562
probe1762,563
probe1485,564
probe1898,565
probe2054,566
probe0578,567
probe0730,568
probe0247,569
probe1602,570
probe0489,571
probe0714,572
probe1251,573
probe0906,574
probe1756,575
probe1998,576
probe1084,577
probe0355,578
probe1622,579
probe1950,580
probe1064,581
probe1794,582
probe2006,583
probe1086,584
probe1319,585
probe1843,586
probe2025,587
probe1533,588
probe0473,589
probe0706,590
probe0241,591
probe1154,592
probe0884,593
probe1746,594
probe1475,595
probe1894,596
probe2052,597
probe1098,598
probe0359,599
probe1182,600
probe0892,601
probe1279,602
probe1373,603
probe0429,604
probe0154,605
probe0636,606
probe0746,607
probe0253,608
probe0086,609
probe1569,610
probe0481,611
probe0167,612
probe0050,613
probe1116,614
probe0872,615
probe0293,616
probe0658,617
probe0219,618
probe0076,619
probe0610,620
probe0205,621
probe0066,622
probe0024,623
probe0006,624
probe1555,625
probe1926,626
probe1509,627
probe0471,628
probe0704,629
probe1702,630
probe1972,631
probe1523,632
probe1424,633
probe0443,634
probe1194,635
probe0896,636
probe1748,637
probe1477,638
probe1896,639
probe0545,640
probe1668,641
probe1968,642
probe1068,643
probe1313,644
probe1385,645
probe0431,646
probe0156,647
probe0044,648
probe0016,649
probe0598,650
probe0736,651
probe1710,652
probe0513,653
probe1206,654
probe0898,655
probe1750,656
probe1994,657
probe1080,658
probe0864,659
probe0291,660
probe0102,661
probe1577,662
probe1934,663
probe2064,664
probe1543,665
probe0974,666
probe1770,667
probe0517,668
probe1208,669
probe1351,670
probe0930,671
probe1287,672
probe0405,673
probe1186,674
probe1339,675
probe0419,676
probe1188,677
probe0894,678
probe1281,679
probe0403,680
probe0140,681
probe0630,682
probe1682,683
probe0998,684
probe1299,685
probe0407,686
probe0142,687
probe0632,688
probe1684,689
probe1000,690
probe0840,691
probe1271,692
probe0914,693
probe0820,694
probe1265,695
probe0912,696
probe0303,697
probe1612,698
probe0493,699
probe1202,700
probe0381,701
probe1184,702
probe0377,703
probe0128,704
probe1585,705
probe0483,706
probe0712,707
probe0243,708
probe1156,709
probe1814,710
probe2012,711
probe1529,712
probe1912,713
probe1054,714
probe1792,715
probe1022,716
probe1782,717
probe1489,718
probe1900,719
probe1501,720
probe0469,721
probe0164,722
probe0048,723
probe0606,724
probe0740,725
probe0251,726
probe1160,727
probe0373,728
probe1632,729
probe0495,730
probe0716,731
probe0768,732
probe0263,733
probe0090,734
probe0616,735
probe0209,736
probe1596,737
probe0485,738
probe1654,739
probe1962,740
probe1521,741
probe1910,742
probe2056,743
probe0580,744
probe1678,745
probe0996,746
probe1778,747
probe0521,748
probe1658,749
probe0990,750
probe1774,751
probe1487,752
probe0461,753
probe1200,754
probe1347,755
probe1395,756
probe0942,757
probe0313,758
probe0108,759
probe0034,760
probe0602,761
probe1231,762
probe1833,763
probe2021,764
probe1090,765
probe1798,766
probe0527,767
probe0183,768
probe1592,769
probe0986,770
probe0834,771
probe0804,772
probe0277,773
probe0096,774
probe1573,775
probe1930,776
probe1511,777
probe1906,778
probe1052,779
probe1790,780
probe0525,781
probe1212,782
probe0383,783
probe0130,784
probe0624,785
probe1239,786
probe1361,787
probe0934,788
probe0311,789
probe0106,790
probe1579,791
probe0980,792
probe0329,793
probe1178,794
probe0375,795
probe0682,796
probe0758,797
probe0257,798
probe0088,799
probe1571,800
probe0978,801
probe1297,802
probe0920,803
probe1285,804
probe0916,805
probe0305,806
probe1614,807
probe1944,808
probe1515,809
probe1418,810
probe0950,811
probe0830,812
probe1269,813
probe1367,814
probe0425,815
probe0150,816
probe0634,817
probe1686,818
probe0507,819
probe0175,820
probe0054,821
probe1561,822
probe0477,823
probe0708,824
probe0766,825
probe1716,826
probe1976,827
probe0557,828
probe1674,829
probe0994,830
probe1776,831
probe0519,832
probe1210,833
probe1353,834
probe1855,835
probe0535,836
probe0187,837
probe0644,838
probe0215,839
probe1146,840
probe1335,841
probe1849,842
probe2029,843
probe0569,844
probe0726,845
probe0772,846
probe1259,847
probe0399,848
probe0138,849
probe0040,850
probe0604,851
probe1233,852
probe1359,853
probe1857,854
probe2033,855
probe0571,856
probe0728,857
probe0774,858
probe1718,859
probe1978,860
probe1525,861
probe0968,862
probe1293,863
probe1379,864
probe0936,865
probe1760,866
probe1483,867
probe0964,868
probe0323,869
probe0666,870
probe0754,871
probe1257,872
probe0397,873
probe0690,874
probe0235,875
probe1600,876
probe0487,877
probe1656,878
probe1964,879
probe0553,880
probe1672,881
probe1455,882
probe0960,883
probe0321,884
probe1176,885
probe0888,886
probe0297,887
probe0104,888
probe0618,889
probe1680,890
probe1459,891
probe1886,892
probe2048,893
probe1096,894
probe0357,895
probe1624,896
probe1441,897
probe0956,898
probe1766,899
probe2002,900
probe2078,901
probe0588,902
probe1229,903
probe0387,904
probe0132,905
probe0626,906
probe0213,907
probe0072,908
probe1567,909
probe0976,910
probe0327,911
probe0670,912
probe0221,913
probe0078,914
probe0026,915
probe0008,916
probe0002,917
probe1106,918
probe1323,919
probe1389,920
probe0433,921
probe1190,922
probe1341,923
probe1851,924
probe1499,925
probe0467,926
probe0162,927
probe1587,928
probe1938,929
probe2066,930
probe0582,931
probe1225,932
probe0900,933
probe1752,934
probe1996,935
probe1082,936
probe0866,937
probe0814,938
probe0281,939
probe0098,940
probe0032,941
probe0010,942
probe0594,943
probe0201,944
probe0064,945
probe0022,946
probe0004,947
probe0592,948
probe0734,949
probe0249,950
probe1158,951
probe0371,952
probe0126,953
probe1132,954
probe1329,955
probe1391,956
probe0940,957
probe1764,958
probe2000,959
probe1527,960
probe0970,961
probe1295,962
probe1841,963
probe0533,964
probe1660,965
probe1451,966
probe0958,967
probe0319,968
probe0112,969
probe1581,970
probe0982,971
probe0331,972
probe0672,973
probe0223,974
probe0650,975
probe1690,976
probe1461,977
probe0453,978
probe1648,979
probe1449,980
probe1408,981
probe0946,982
probe0315,983
probe0110,984
probe0620,985
probe0211,986
probe0070,987
probe1120,988
probe0874,989
probe1738,990
probe1986,991
probe2076,992
probe1545,993
probe1918,994
probe2058,995
probe1100,996
probe0361,997
probe1626,998
probe1952,999
probe2072,1000
probe2087,1001
probe1551,1002
probe1922,1003
probe1058,1004
probe0854,1005
probe1734,1006
probe1982,1007
probe1074,1008
probe0860,1009
probe0810,1010
probe0796,1011
probe0792,1012
probe0269,1013
probe0094,1014
probe1124,1015
probe0876,1016
probe1740,1017
probe1988,1018
probe0559,1019
probe1218,1020
probe1355,1021
probe1397,1022
probe0437,1023
probe1192,1024
probe1343,1025
probe1393,1026
probe0435,1027
probe1642,1028
probe1956,1029
probe1517,1030
probe1420,1031
probe0952,1032
probe1291,1033
probe0918,1034
probe0822,1035
probe0800,1036
probe0273,1037
probe1606,1038
probe1940,1039
probe1060,1040
probe1311,1041
probe0922,1042
probe0824,1043
probe1267,1044
probe1365,1045
probe1399,1046
probe1867,1047
